diagnosis_code,ChronicOrAcute,is_chronic,clinical_category,diagnosis_name,common_name,synonyms,icd11_code,icd11_uri,department,department-ignore,severity,default_follow_up_days,billing_code,status,default_treatment_template,is_reportable,notifiable,is_photo_medicine_eligible
DIAG-0280,Chronic,Yes,Endocrine/Metabolic,Thyroid nodule,Thyroid nodule,"Thyroid nodule, Thyroid",,,General Medicine,Endocrinology,Mild,7,BL-00284,Approved,TT-0284,No,No,No
DIAG-0281,Chronic,Yes,General Medicine,Goiter multinodular,Goiter multinodular,"Goiter multinodular, Goiter",,,General Medicine,General Medicine,Mild,7,BL-00285,Approved,TT-0285,No,No,No
DIAG-0282,Chronic,Yes,General Medicine,Graves disease,Graves disease,"Graves disease, Graves",,,General Medicine,General Medicine,Moderate,7,BL-00286,Approved,TT-0286,No,No,No
DIAG-0283,Chronic,Yes,Endocrine/Metabolic,Hashimoto thyroiditis,Hashimoto thyroiditis,"Hashimoto thyroiditis, Hashimoto",,,General Medicine,Endocrinology,Mild,7,BL-00287,Approved,TT-0287,No,No,No
DIAG-0284,Chronic,Yes,General Medicine,Addison disease,Addison disease,"Addison disease, Addison",,,General Medicine,General Medicine,Moderate,7,BL-00288,Approved,TT-0288,No,No,No
DIAG-0285,Chronic,Yes,Endocrine/Metabolic,Cushing syndrome,Cushing syndrome,"Cushing syndrome, Cushing",,,General Medicine,General Medicine,Mild,7,BL-00289,Approved,TT-0289,No,No,No
DIAG-0286,Chronic,Yes,Endocrine/Metabolic,Hyperparathyroidism,Hyperparathyroidism,Hyperparathyroidism,,,General Medicine,Endocrinology,Mild,7,BL-00290,Approved,TT-0290,No,No,No
DIAG-0287,Chronic,Yes,Endocrine/Metabolic,Primary hyperaldosteronism,Primary hyperaldosteronism,"Primary hyperaldosteronism, Primary",,,General Medicine,General Medicine,Mild,7,BL-00291,Approved,TT-0291,No,No,No
DIAG-0288,Chronic,Yes,Endocrine/Metabolic,Pheochromocytoma,Pheochromocytoma,Pheochromocytoma,,,General Medicine,General Medicine,Mild,7,BL-00292,Approved,TT-0292,No,No,No
DIAG-0289,Chronic,Yes,Endocrine/Metabolic,Hyperprolactinemia,Hyperprolactinemia,Hyperprolactinemia,,,General Medicine,General Medicine,Mild,7,BL-00293,Approved,TT-0293,No,No,No
DIAG-0290,Chronic,Yes,Endocrine/Metabolic,Acromegaly,Acromegaly,Acromegaly,,,General Medicine,General Medicine,Mild,7,BL-00294,Approved,TT-0294,No,No,No
DIAG-0291,Chronic,Yes,Endocrine/Metabolic,Gigantism,Gigantism,Gigantism,,,General Medicine,General Medicine,Mild,7,BL-00295,Approved,TT-0295,No,No,No
DIAG-0292,Chronic,Yes,Endocrine/Metabolic,Short stature endocrine,Short stature endocrine,"Short stature endocrine, Short",,,General Medicine,Endocrinology,Mild,7,BL-00296,Approved,TT-0296,No,No,No
DIAG-0293,Chronic,Yes,Endocrine/Metabolic,Adrenal insufficiency,Adrenal insufficiency,"Adrenal insufficiency, Adrenal",,,General Medicine,Nephrology/Urology,Mild,7,BL-00297,Approved,TT-0297,No,No,No
DIAG-0294,Chronic,Yes,Endocrine/Metabolic,Hypogonadism male,Hypogonadism male,"Hypogonadism male, Hypogonadism",,,General Medicine,General Medicine,Mild,7,BL-00298,Approved,TT-0298,No,No,No
DIAG-0295,Chronic,Yes,Genitourinary,Polycystic kidney disease,Polycystic kidney disease,"Polycystic kidney disease, Polycystic",,,General Medicine,Nephrology/Urology,Moderate,7,BL-00299,Approved,TT-0299,No,No,No
DIAG-0296,Chronic,Yes,Genitourinary,Nephrolithiasis,Nephrolithiasis,Nephrolithiasis,,,General Medicine,Nephrology/Urology,Mild,7,BL-00300,Approved,TT-0300,No,No,No
DIAG-0297,Chronic,Yes,Genitourinary,Hydronephrosis,Hydronephrosis,Hydronephrosis,,,General Medicine,Nephrology/Urology,Mild,7,BL-00301,Draft,TT-0301,No,No,No
DIAG-0298,Chronic,Yes,Genitourinary,Renal artery stenosis,Renal artery stenosis,"Renal artery stenosis, Renal",,,General Medicine,Nephrology/Urology,Mild,7,BL-00302,Draft,TT-0302,No,No,No
DIAG-0299,Chronic,Yes,Genitourinary,Glomerulonephritis,Glomerulonephritis,Glomerulonephritis,,,General Medicine,General Medicine,Mild,7,BL-00303,Draft,TT-0303,No,No,No
DIAG-0300,Chronic,Yes,Genitourinary,Nephrotic syndrome,Nephrotic syndrome,"Nephrotic syndrome, Nephrotic",,,General Medicine,Nephrology/Urology,Mild,7,BL-00304,Draft,TT-0304,No,No,No
DIAG-0301,Chronic,Yes,Genitourinary,Interstitial nephritis,Interstitial nephritis,"Interstitial nephritis, Interstitial",,,General Medicine,General Medicine,Mild,7,BL-00305,Draft,TT-0305,No,No,No
DIAG-0302,Chronic,Yes,Genitourinary,Acute tubular necrosis,Acute tubular necrosis,"Acute tubular necrosis, Acute",,,General Medicine,General Medicine,Severe,7,BL-00306,Draft,TT-0306,No,No,No
DIAG-0303,Chronic,Yes,Gastrointestinal,Chronic liver disease alcoholic,Chronic liver disease alcoholic,"Chronic liver disease alcoholic, Chronic",,,General Medicine,Gastroenterology,Moderate,30,BL-00307,Draft,TT-0307,No,No,No
DIAG-0304,Chronic,Yes,Gastrointestinal,Non-alcoholic fatty liver disease,Non-alcoholic fatty liver disease,"Non-alcoholic fatty liver disease, Non-alcoholic",,,General Medicine,Gastroenterology,Moderate,7,BL-00308,Draft,TT-0308,No,No,No
DIAG-0305,Chronic,Yes,Cancer,Hepatocellular carcinoma,Hepatocellular carcinoma,"Hepatocellular carcinoma, Hepatocellular",,,Oral Oncology,Oncology,Mild,7,BL-00309,Draft,TT-0309,No,No,Yes
DIAG-0306,Chronic,Yes,Cardiovascular,Portal hypertension,Portal hypertension,"Portal hypertension, Portal",,,General Medicine,Cardiology,Moderate,30,BL-00310,Draft,TT-0310,No,No,No
DIAG-0307,Chronic,Yes,Gastrointestinal,Esophageal varices bleeding,Esophageal varices bleeding,"Esophageal varices bleeding, Esophageal",,,General Medicine,General Medicine,Mild,7,BL-00311,Draft,TT-0311,No,No,No
DIAG-0308,Chronic,Yes,Gastrointestinal,Mallory-Weiss tear,Mallory-Weiss tear,"Mallory-Weiss tear, Mallory-Weiss",,,General Medicine,ENT,Mild,7,BL-00312,Draft,TT-0312,No,No,No
DIAG-0309,Chronic,Yes,Gastrointestinal,Gastroesophageal reflux disease,Gastroesophageal reflux disease,"Gastroesophageal reflux disease, Gastroesophageal",,,General Medicine,General Medicine,Moderate,7,BL-00313,Draft,TT-0313,No,No,No
DIAG-0310,Chronic,Yes,Gastrointestinal,Barrett esophagus,Barrett esophagus,"Barrett esophagus, Barrett",,,General Medicine,General Medicine,Mild,7,BL-00314,Draft,TT-0314,No,No,No
DIAG-0311,Chronic,Yes,Gastrointestinal,Achalasia,Achalasia,Achalasia,,,General Medicine,General Medicine,Mild,7,BL-00315,Draft,TT-0315,No,No,No
DIAG-0312,Chronic,Yes,Gastrointestinal,Gastroparesis,Gastroparesis,Gastroparesis,,,General Medicine,General Medicine,Mild,7,BL-00316,Draft,TT-0316,No,No,No
DIAG-0313,Chronic,Yes,Gastrointestinal,Celiac disease,Celiac disease,"Celiac disease, Celiac",,,General Medicine,General Medicine,Moderate,7,BL-00317,Draft,TT-0317,No,No,No
DIAG-0314,Chronic,Yes,Allergy,Lactose intolerance,Lactose intolerance,"Lactose intolerance, Lactose",,,General Medicine,General Medicine,Mild,7,BL-00318,Draft,TT-0318,No,No,No
DIAG-0315,Chronic,Yes,Allergy,Fructose malabsorption,Fructose malabsorption,"Fructose malabsorption, Fructose",,,General Medicine,General Medicine,Mild,7,BL-00319,Draft,TT-0319,No,No,No
DIAG-0316,Chronic,Yes,Gastrointestinal,Primary biliary cholangitis,Primary biliary cholangitis,"Primary biliary cholangitis, Primary",,,General Medicine,General Medicine,Mild,7,BL-00320,Draft,TT-0320,No,No,No
DIAG-0317,Chronic,Yes,Gastrointestinal,Primary sclerosing cholangitis,Primary sclerosing cholangitis,"Primary sclerosing cholangitis, Primary",,,General Medicine,General Medicine,Mild,7,BL-00321,Draft,TT-0321,No,No,No
DIAG-0318,Chronic,Yes,Gastrointestinal,Wilson disease,Wilson disease,"Wilson disease, Wilson",,,General Medicine,General Medicine,Moderate,7,BL-00322,Draft,TT-0322,No,No,No
DIAG-0319,Chronic,Yes,Gastrointestinal,Hemochromatosis,Hemochromatosis,Hemochromatosis,,,General Medicine,General Medicine,Mild,7,BL-00323,Draft,TT-0323,No,No,No
DIAG-0320,Chronic,Yes,Other,Alpha-1 antitrypsin deficiency,Alpha-1 antitrypsin deficiency,"Alpha-1 antitrypsin deficiency, Alpha-1",,,General Medicine,General Medicine,Mild,7,BL-00324,Draft,TT-0324,No,No,No
DIAG-0321,Chronic,Yes,Respiratory,Idiopathic pulmonary fibrosis,Idiopathic pulmonary fibrosis,"Idiopathic pulmonary fibrosis, Idiopathic",,,General Medicine,General Medicine,Mild,7,BL-00325,Draft,TT-0325,No,No,No
DIAG-0322,Chronic,Yes,Cardiovascular,Pulmonary hypertension,Pulmonary hypertension,"Pulmonary hypertension, Pulmonary",,,General Medicine,Cardiology,Moderate,30,BL-00326,Draft,TT-0326,No,No,No
DIAG-0323,Chronic,Yes,Respiratory,Interstitial lung disease,Interstitial lung disease,"Interstitial lung disease, Interstitial",,,General Medicine,General Medicine,Moderate,7,BL-00327,Draft,TT-0327,No,No,No
DIAG-0324,Chronic,Yes,Occupational,Occupational lung disease pneumoconiosis,Occupational lung disease pneumoconiosis,"Occupational lung disease pneumoconiosis, Occupational",,,General Medicine,General Medicine,Moderate,7,BL-00328,Draft,TT-0328,No,No,No
DIAG-0325,Chronic,Yes,Occupational,Silicosis,Silicosis,Silicosis,,,General Medicine,General Medicine,Mild,7,BL-00329,Draft,TT-0329,No,No,No
DIAG-0326,Chronic,Yes,Occupational,Asbestosis,Asbestosis,Asbestosis,,,General Medicine,General Medicine,Mild,7,BL-00330,Draft,TT-0330,No,No,No
DIAG-0327,Chronic,Yes,Occupational,Coal worker pneumoconiosis,Coal worker pneumoconiosis,"Coal worker pneumoconiosis, Coal",,,General Medicine,General Medicine,Mild,7,BL-00331,Draft,TT-0331,No,No,No
DIAG-0328,Chronic,Yes,Occupational,Occupational asthma,Occupational asthma,"Occupational asthma, Occupational",,,General Medicine,Respiratory,Mild,30,BL-00332,Draft,TT-0332,No,No,No
DIAG-0329,Chronic,Yes,Genitourinary,Stress urinary incontinence,Stress urinary incontinence,"Stress urinary incontinence, Stress",,,General Medicine,Nephrology/Urology,Mild,7,BL-00333,Draft,TT-0333,No,No,No
DIAG-0330,Chronic,Yes,Genitourinary,Urge incontinence,Urge incontinence,"Urge incontinence, Urge",,,General Medicine,General Medicine,Mild,7,BL-00334,Draft,TT-0334,No,No,No
DIAG-0331,Chronic,Yes,Genitourinary,Overflow incontinence,Overflow incontinence,"Overflow incontinence, Overflow",,,General Medicine,General Medicine,Mild,7,BL-00335,Draft,TT-0335,No,No,No
DIAG-0332,Chronic,Yes,Genitourinary,Neurogenic bladder,Neurogenic bladder,"Neurogenic bladder, Neurogenic",,,General Medicine,General Medicine,Mild,7,BL-00336,Draft,TT-0336,No,No,No
DIAG-0333,Chronic,Yes,General Medicine,Unspecified condition,Unspecified condition,Unspecified condition,,,General Medicine,General Medicine,Mild,7,BL-00337,Draft,TT-0337,No,No,No
